series_id,period_date,value
LNS14000000,2000-01-01,4.0
LNS14000000,2000-02-01,4.1
LNS14000000,2000-03-01,4.0
LNS14000000,2000-04-01,3.8
LNS14000000,2000-05-01,4.0
LNS14000000,2000-06-01,4.0
LNS14000000,2000-07-01,4.0
LNS14000000,2000-08-01,4.1
LNS14000000,2000-09-01,3.9
LNS14000000,2000-10-01,3.9
LNS14000000,2000-11-01,3.9
LNS14000000,2000-12-01,3.9
LNS14000000,2001-01-01,4.2
LNS14000000,2001-02-01,4.2
LNS14000000,2001-03-01,4.3
LNS14000000,2001-04-01,4.4
LNS14000000,2001-05-01,4.3
LNS14000000,2001-06-01,4.5
LNS14000000,2001-07-01,4.6
LNS14000000,2001-08-01,4.9
LNS14000000,2001-09-01,5.0
LNS14000000,2001-10-01,5.3
LNS14000000,2001-11-01,5.5
LNS14000000,2001-12-01,5.7
LNS14000000,2002-01-01,5.7
LNS14000000,2002-02-01,5.7
LNS14000000,2002-03-01,5.7
LNS14000000,2002-04-01,5.9
LNS14000000,2002-05-01,5.8
LNS14000000,2002-06-01,5.8
LNS14000000,2002-07-01,5.8
LNS14000000,2002-08-01,5.7
LNS14000000,2002-09-01,5.7
LNS14000000,2002-10-01,5.7
LNS14000000,2002-11-01,5.9
LNS14000000,2002-12-01,6.0
LNS14000000,2003-01-01,5.8
LNS14000000,2003-02-01,5.9
LNS14000000,2003-03-01,5.9
LNS14000000,2003-04-01,6.0
LNS14000000,2003-05-01,6.1
LNS14000000,2003-06-01,6.3
LNS14000000,2003-07-01,6.2
LNS14000000,2003-08-01,6.1
LNS14000000,2003-09-01,6.1
LNS14000000,2003-10-01,6.0
LNS14000000,2003-11-01,5.8
LNS14000000,2003-12-01,5.7
LNS14000000,2004-01-01,5.7
LNS14000000,2004-02-01,5.6
LNS14000000,2004-03-01,5.8
LNS14000000,2004-04-01,5.6
LNS14000000,2004-05-01,5.6
LNS14000000,2004-06-01,5.6
LNS14000000,2004-07-01,5.5
LNS14000000,2004-08-01,5.4
LNS14000000,2004-09-01,5.4
LNS14000000,2004-10-01,5.5
LNS14000000,2004-11-01,5.4
LNS14000000,2004-12-01,5.4
LNS14000000,2005-01-01,5.3
LNS14000000,2005-02-01,5.4
LNS14000000,2005-03-01,5.2
LNS14000000,2005-04-01,5.2
LNS14000000,2005-05-01,5.1
LNS14000000,2005-06-01,5.0
LNS14000000,2005-07-01,5.0
LNS14000000,2005-08-01,4.9
LNS14000000,2005-09-01,5.0
LNS14000000,2005-10-01,5.0
LNS14000000,2005-11-01,5.0
LNS14000000,2005-12-01,4.9
LNS14000000,2006-01-01,4.7
LNS14000000,2006-02-01,4.8
LNS14000000,2006-03-01,4.7
LNS14000000,2006-04-01,4.7
LNS14000000,2006-05-01,4.6
LNS14000000,2006-06-01,4.6
LNS14000000,2006-07-01,4.7
LNS14000000,2006-08-01,4.7
LNS14000000,2006-09-01,4.5
LNS14000000,2006-10-01,4.4
LNS14000000,2006-11-01,4.5
LNS14000000,2006-12-01,4.4
LNS14000000,2007-01-01,4.6
LNS14000000,2007-02-01,4.5
LNS14000000,2007-03-01,4.4
LNS14000000,2007-04-01,4.5
LNS14000000,2007-05-01,4.4
LNS14000000,2007-06-01,4.6
LNS14000000,2007-07-01,4.7
LNS14000000,2007-08-01,4.6
LNS14000000,2007-09-01,4.7
LNS14000000,2007-10-01,4.7
LNS14000000,2007-11-01,4.7
LNS14000000,2007-12-01,5.0
LNS14000000,2008-01-01,5.0
LNS14000000,2008-02-01,4.9
LNS14000000,2008-03-01,5.1
LNS14000000,2008-04-01,5.0
LNS14000000,2008-05-01,5.4
LNS14000000,2008-06-01,5.6
LNS14000000,2008-07-01,5.8
LNS14000000,2008-08-01,6.1
LNS14000000,2008-09-01,6.1
LNS14000000,2008-10-01,6.5
LNS14000000,2008-11-01,6.8
LNS14000000,2008-12-01,7.3
LNS14000000,2009-01-01,7.8
LNS14000000,2009-02-01,8.3
LNS14000000,2009-03-01,8.7
LNS14000000,2009-04-01,9.0
LNS14000000,2009-05-01,9.4
LNS14000000,2009-06-01,9.5
LNS14000000,2009-07-01,9.5
LNS14000000,2009-08-01,9.6
LNS14000000,2009-09-01,9.8
LNS14000000,2009-10-01,10.0
LNS14000000,2009-11-01,9.9
LNS14000000,2009-12-01,9.9
